,Unnamed: 0,name,date,round_name,no_of_investors_round,money_raised,lead_inverstor_name
75,75,coinbase,2020-07-15,Secondary Market - Coinbase,17,0.00,DFJ Growth
76,76,coinbase,2019-01-01,Secondary Market - Coinbase,3,0.00,—
77,77,coinbase,2018-12-21,Series F - Coinbase,4,"22,000,000.00",—
78,78,coinbase,2018-10-30,Series E - Coinbase,15,"300,000,000.00",Tiger Global Management
79,79,coinbase,2018-06-03,Series D - Coinbase,1,0.00,—
80,80,coinbase,2018-01-01,Series F - Coinbase,1,"1,700,000.00",—
81,81,coinbase,2017-09-01,Venture Round - Coinbase,2,0.00,—
82,82,nftically,2023-02-07,Seed Round - NFTically,5,"1,000,000.00","Polygon Ventures, The Spartan Group"
83,83,nftically,2021-10-12,Seed Round - NFTically,7,"500,000.00",—
84,84,nftically,2021-07-20,Seed Round - NFTically,1,0.00,Jaynti Kanani
85,85,nftically,2021-02-19,Pre Seed Round - NFTically,1,0.00,—
86,86,consensus-systems,2022-10-18,Secondary Market - ConsenSys,1,"1,700,000.00",—
87,87,consensus-systems,2022-08-31,Secondary Market - ConsenSys,1,0.00,—
88,88,consensus-systems,2022-07-27,Secondary Market - ConsenSys,1,0.00,—
89,89,consensus-systems,2022-02-14,Series D - ConsenSys,17,"450,000,000.00",ParaFi Capital
90,90,consensus-systems,2021-11-17,Series C - ConsenSys,14,"200,000,000.00","Marshall Wace, Third Point Ventures"
91,91,consensus-systems,2021-04-13,Convertible Note - ConsenSys,16,"65,000,000.00",—
92,92,consensus-systems,2020-08-25,Venture Round - ConsenSys,1,0.00,JP Morgan
93,93,consensus-systems,2019-07-02,Venture Round - ConsenSys,1,"10,000,000.00",SK Group
94,94,singularitynet,2022-05-19,Venture Round - SingularityNET,1,"23,600,000.00",LDA Capital
95,95,singularitynet,2020-03-18,Venture Round - SingularityNET,1,0.00,—
96,96,singularitynet,2019-09-01,Venture Round - SingularityNET,1,0.00,—
97,97,singularitynet,2018-01-01,Pre Seed Round - SingularityNET,1,"5,000,000.00",—
98,98,singularitynet,2017-12-19,Initial Coin Offering - SingularityNET,2,"36,000,000.00",—
99,99,singularitynet,2017-11-22,Venture Round - SingularityNET,1,0.00,—
100,100,fetch-ai,2021-03-10,Venture Round - Fetch.AI,1,"5,000,000.00",GDA Group
101,101,fetch-ai,2019-02-25,Initial Coin Offering - Fetch.AI,—,"6,000,000.00",—
102,102,fetch-ai,2018-06-11,Seed Round - Fetch.AI,2,"15,000,000.00",Outlier Ventures
103,103,nftgo,2022-02-08,Seed Round - NFTGo,9,"6,800,000.00",Qiming Venture Partners
104,104,nftgo,2021-08-11,Seed Round - NFTGo,1,"100,000.00",—
105,105,bitquery,2022-09-27,Seed Round - Bitquery,7,"8,500,000.00","Binance Labs, dao5"
106,106,bitquery,2019-01-01,Funding Round - Bitquery,1,0.00,—
107,107,anchain-ai,2021-09-25,Grant - AnChain.ai,—,"50,000.00",—
108,108,anchain-ai,2021-08-12,Series A - AnChain.ai,5,"10,000,000.00",Susquehanna International Group (SIG)
109,109,anchain-ai,2020-02-13,Seed Round - AnChain.ai,5,"4,300,000.00","Amino Capital, Susquehanna International Group (SIG)"
110,110,anchain-ai,2018-08-01,Seed Round - AnChain.ai,3,"2,000,000.00",Amino Capital
111,111,blur-d734,2022-03-28,Seed Round - Blur,8,"11,000,000.00",Paradigm
